varname,groupname,is_derived,adjfactor_type,delay_0,dimensions,value_type,coverage,update_frequency,empty_value,lower_bound,upper_bound,units,data_types,author,birthday,num_comments,description
fred_BAMLEMPUPUBSLCRPIUSOAS,GROUP_fred_frequent,0,,0,1D,single,,1.0,,1.84,2.78,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML Public Sector Issuers US Emerging Markets Liquid Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Public Sector US Emerging Markets Liquid Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Liquid Corporate Plus Index, which includes all quasi-government securities as well as the debt of corporate issuers designated as government owned or controlled by ICE BofAML emerging markets credit research. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Public Sector Issuers US Emerging Markets Liquid Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Public Sector US Emerging Markets Liquid Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Liquid Corporate Plus Index, which includes all quasi-government securities as well as the debt of corporate issuers designated as government owned or controlled by ICE BofAML emerging markets credit research. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLEMRACRPIASIAEY,GROUP_fred_frequent,0,,0,1D,single,,1.0,,5.37,7.72,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Effective Yield. This data represents the effective yield of the ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Effective Yield. This data represents the effective yield of the ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLEMRACRPIASIAOAS,GROUP_fred_frequent,0,,0,1D,single,,1.0,,1.99,3.5,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLEMRACRPIASIATRIV,GROUP_fred_frequent,0,,0,1D,single,,1.0,,364.95,410.24,Dollar,Macro,syuan,20200210.0,0,"ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Total Return Index Value. The ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Asia Emerging Markets Corporate Plus Sub-Index Total Return Index Value. The ICE BofAML Asia Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLEMRLCRPILAEY,GROUP_fred_frequent,0,,0,1D,single,,1.0,,5.99,9.24,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield. This data represents the effective yield of the ICE BofAML Latin America Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Latin America. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield. This data represents the effective yield of the ICE BofAML Latin America Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Latin America. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLEMRLCRPILAOAS,GROUP_fred_frequent,0,,0,1D,single,,1.0,,3.34,5.28,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML Latin America Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Latin America Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Latin America. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML Latin America Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) for the ICE BofAML Latin America Emerging Markets Corporate Plus Index is the subset of the ICE BofAML Emerging Markets Corporate Plus Index, which includes only securities issued by countries associated with the region of Latin America. The same inclusion rules apply for this series as those that apply for ICE BofAML Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413).  The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLH0A0HYM2,GROUP_fred_frequent,0,,0,1D,single,,1.0,,3.5,5.99,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML US High Yield Master II Option-Adjusted Spread. The ICE BofAML Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. The ICE BofAML High Yield Master II OAS uses an index of bonds that are below investment grade (those rated BB or below). This data represents the ICE BofAML US High Yield Master II Index value, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML US High Yield Master II Option-Adjusted Spread. The ICE BofAML Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. The ICE BofAML High Yield Master II OAS uses an index of bonds that are below investment grade (those rated BB or below). This data represents the ICE BofAML US High Yield Master II Index value, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLH0A0HYM2EY,GROUP_fred_frequent,0,,0,1D,single,,1.0,,6.34,9.5,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML US High Yield Master II Effective Yield. This data represents the effective yield of the ICE BofAML US High Yield Master II Index, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML US High Yield Master II Effective Yield. This data represents the effective yield of the ICE BofAML US High Yield Master II Index, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLH0A0HYM2SYTW,GROUP_fred_frequent,0,,0,1D,single,,1.0,,6.5,9.6,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML US High Yield Master II Semi-Annual Yield to Worst. This data represents the semi-annual yield to worst of the ICE BofAML US High Yield Master II Index, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index. Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payment frequencies of annual, semi-annual, quarterly, and monthly. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML US High Yield Master II Semi-Annual Yield to Worst. This data represents the semi-annual yield to worst of the ICE BofAML US High Yield Master II Index, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, global securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index  ICE BofAML Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index. Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payment frequencies of annual, semi-annual, quarterly, and monthly. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
fred_BAMLH0A1HYBB,GROUP_fred_frequent,0,,0,1D,single,,1.0,,2.47,4.22,Dimensionless,Macro,syuan,20200210.0,0,"ICE BofAML US High Yield BB Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate BB Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BB. The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.,ICE BofAML US High Yield BB Option-Adjusted Spread. This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate BB Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BB. The ICE BofAML OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (ICE) and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
